Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country
500001,S1001,Starter Kit,4,2010-09-05 10:00,12.50,10001,United Kingdom
500145,S1002,Premium Mug,3,2010-12-20 09:15,18.00,10001,United Kingdom
500002,S1003,Desk Organizer,2,2010-08-12 11:30,22.00,10002,Germany
500146,S1004,Cable Pack,6,2010-12-18 15:20,7.50,10002,Germany
500003,S1005,Notebook Set,5,2010-10-02 13:45,9.00,10003,France
500147,S1006,Travel Bottle,2,2010-12-22 16:40,25.00,10003,France
500004,S1007,Laptop Stand,1,2010-07-15 14:10,45.00,10004,Netherlands
500148,S1008,Wireless Mouse,2,2010-12-28 12:05,20.00,10004,Netherlands
500005,S1009,Gift Box,3,2010-09-28 10:25,14.00,10005,Spain
500149,S1010,Coffee Beans,4,2010-12-30 17:00,11.00,10005,Spain
500006,S1011,Tea Set,2,2010-10-18 09:40,28.00,10006,Portugal
500150,S1012,Candle Trio,5,2011-01-05 18:10,8.00,10006,Portugal
500007,S1013,Seasonal Card,2,2010-03-10 10:00,6.00,10101,United Kingdom
500091,S1014,Mini Basket,1,2010-05-12 13:30,16.00,10101,United Kingdom
500008,S1015,Storage Tin,3,2010-02-22 12:20,13.00,10102,Ireland
500092,S1016,Apron,2,2010-06-01 15:10,19.00,10102,Ireland
500009,S1017,Photo Frame,1,2010-01-18 09:00,21.00,10103,Belgium
500093,S1018,Planter,2,2010-05-20 11:50,17.50,10103,Belgium
500010,S1019,Serving Tray,2,2010-03-28 16:00,24.00,10104,Sweden
500094,S1020,Linen Napkins,4,2010-06-15 10:40,7.00,10104,Sweden
500011,S1021,Glass Jar,3,2010-04-05 14:35,10.00,10105,Norway
500095,S1022,Ceramic Bowl,2,2010-07-01 09:55,18.00,10105,Norway
500012,S1023,Party Lights,1,2010-02-10 10:45,32.00,10106,Denmark
500096,S1024,Kitchen Towels,3,2010-06-25 12:15,9.50,10106,Denmark
